pollution_id,city,timestamp,pm25,pm10,no2,so2,co,o3,aqi_value,data_source,temperature,humidity,wind_speed,atmospheric_pressure,precipitation,cloudiness,created_at,date,time,hour,day_of_week
89,Jabalpur,2025-11-06 07:31:22.618031,42.82,65.47,1.83,2.64,254.31,79.15,3,OpenWeather,21.59,66.0,1.38,,,77.0,2025-11-06 07:31:22.618842,2025-11-06,07:31:22.618031,7,Thursday
42,Jabalpur,2025-11-04 20:06:11.775371,23.38,29.87,3.78,2.28,347.99,38.39,2,OpenWeather,24.47,69.0,4.12,,,40.0,2025-11-04 20:06:11.777126,2025-11-04,20:06:11.775371,20,Tuesday
90,Jaipur,2025-11-06 07:31:23.605700,67.63,110.57,6.92,2.08,424.88,71.49,4,OpenWeather,17.62,42.0,1.54,,,0.0,2025-11-06 07:31:23.606871,2025-11-06,07:31:23.605700,7,Thursday
22,Jaipur,2025-11-04 20:06:07.713279,42.29,75.78,11.6,2.27,362.05,70.37,3,OpenWeather,23.62,83.0,1.54,,,70.0,2025-11-04 20:06:07.727787,2025-11-04,20:06:07.713279,20,Tuesday
93,Jalandhar,2025-11-06 07:31:24.486274,42.64,60.6,13.79,3.49,641.16,47.92,3,OpenWeather,14.96,32.0,2.79,,,0.0,2025-11-06 07:31:24.486635,2025-11-06,07:31:24.486274,7,Thursday
91,Jodhpur,2025-11-06 07:31:23.762540,55.5,104.7,16.08,1.62,444.92,28.32,4,OpenWeather,20.03,29.0,1.87,,,0.0,2025-11-06 07:31:23.763647,2025-11-06,07:31:23.762540,7,Thursday
46,Jodhpur,2025-11-04 20:06:12.737355,53.52,131.86,6.31,1.22,186.44,79.61,4,OpenWeather,25.53,40.0,4.11,,,2.0,2025-11-04 20:06:12.739459,2025-11-04,20:06:12.737355,20,Tuesday
92,Kanpur,2025-11-06 07:31:24.464070,57.16,86.68,6.11,1.19,463.33,33.22,4,OpenWeather,20.21,55.0,2.6,,,1.0,2025-11-06 07:31:24.469255,2025-11-06,07:31:24.464070,7,Thursday
25,Kanpur,2025-11-04 20:06:07.955558,46.37,68.05,11.39,5.45,395.54,73.93,3,OpenWeather,22.88,46.0,2.64,,,4.0,2025-11-04 20:06:07.956492,2025-11-04,20:06:07.955558,20,Tuesday
94,Kolkata,2025-11-06 07:31:24.782756,97.53,128.25,7.72,6.12,567.61,79.52,5,OpenWeather,23.97,83.0,1.54,,,20.0,2025-11-06 07:31:24.784164,2025-11-06,07:31:24.782756,7,Thursday
18,Kolkata,2025-11-04 20:06:06.713898,122.64,150.58,5.4,17.42,577.38,162.46,5,OpenWeather,26.97,74.0,2.57,,,20.0,2025-11-04 20:06:06.716035,2025-11-04,20:06:06.713898,20,Tuesday
18,Kolkata,2025-11-04 20:06:06.713898,122.64,150.58,5.4,17.42,577.38,162.46,5,OpenWeather,26.97,74.0,2.57,,,20.0,2025-11-04 20:06:06.716035,2025-11-04,20:06:06.713898,20,Tuesday
10,Kolkata,2025-11-04 20:06:05.212251,122.64,150.58,5.4,17.42,577.38,162.46,5,OpenWeather,26.97,74.0,2.57,,,20.0,2025-11-04 20:06:05.213114,2025-11-04,20:06:05.212251,20,Tuesday
10,Kolkata,2025-11-04 20:06:05.212251,122.64,150.58,5.4,17.42,577.38,162.46,5,OpenWeather,26.97,74.0,2.57,,,20.0,2025-11-04 20:06:05.213114,2025-11-04,20:06:05.212251,20,Tuesday
95,Kota,2025-11-06 07:31:24.818226,34.53,66.17,5.55,2.44,313.52,56.55,3,OpenWeather,18.37,43.0,2.03,,,0.0,2025-11-06 07:31:24.826265,2025-11-06,07:31:24.818226,7,Thursday
48,Kota,2025-11-04 20:06:13.696611,34.24,55.16,2.48,1.96,246.81,93.63,3,OpenWeather,24.89,60.0,3.07,,,0.0,2025-11-04 20:06:13.705077,2025-11-04,20:06:13.696611,20,Tuesday
96,Lucknow,2025-11-06 07:31:25.761354,74.17,101.58,7.53,1.47,563.71,32.71,4,OpenWeather,19.99,100.0,1.54,,,0.0,2025-11-06 07:31:25.776260,2025-11-06,07:31:25.761354,7,Thursday
23,Lucknow,2025-11-04 20:06:07.784425,70.25,115.76,17.13,10.43,548.14,103.16,4,OpenWeather,24.99,65.0,1.03,,,40.0,2025-11-04 20:06:07.784773,2025-11-04,20:06:07.784425,20,Tuesday
97,Ludhiana,2025-11-06 07:31:25.828966,43.5,59.21,12.03,3.65,574.69,50.85,3,OpenWeather,15.21,32.0,3.07,,,0.0,2025-11-06 07:31:25.841625,2025-11-06,07:31:25.828966,7,Thursday
32,Ludhiana,2025-11-04 20:06:09.889446,51.21,86.61,10.68,2.85,393.49,90.82,4,OpenWeather,22.4,39.0,5.1,,,14.0,2025-11-04 20:06:09.891812,2025-11-04,20:06:09.889446,20,Tuesday
98,Madurai,2025-11-06 07:31:25.977160,8.15,13.02,4.95,2.26,265.04,40.94,1,OpenWeather,26.01,83.0,1.03,,,20.0,2025-11-06 07:31:25.978469,2025-11-06,07:31:25.977160,7,Thursday
45,Madurai,2025-11-04 20:06:12.697495,5.16,9.54,6.86,2.69,227.3,57.31,1,OpenWeather,29.01,79.0,3.09,,,40.0,2025-11-04 20:06:12.705484,2025-11-04,20:06:12.697495,20,Tuesday
100,Mathura,2025-11-06 07:31:26.966955,62.03,86.77,5.81,2.79,471.29,75.76,4,OpenWeather,19.57,48.0,2.29,,,0.0,2025-11-06 07:31:26.967718,2025-11-06,07:31:26.966955,7,Thursday
101,Meerut,2025-11-06 07:31:27.643529,53.36,71.01,9.11,7.57,502.43,81.02,4,OpenWeather,18.42,31.0,3.01,,,0.0,2025-11-06 07:31:27.650203,2025-11-06,07:31:27.643529,7,Thursday
102,Moradabad,2025-11-06 07:31:27.695761,58.8,76.35,18.69,16.1,627.88,61.79,4,OpenWeather,17.65,54.0,2.57,,,0.0,2025-11-06 07:31:27.700288,2025-11-06,07:31:27.695761,7,Thursday
99,Mumbai,2025-11-06 07:31:26.815522,37.71,76.64,0.8,3.51,143.01,96.92,3,OpenWeather,24.99,78.0,3.09,,,20.0,2025-11-06 07:31:26.819022,2025-11-06,07:31:26.815522,7,Thursday
14,Mumbai,2025-11-04 20:06:05.944216,26.97,41.21,0.14,0.3,168.82,86.37,3,OpenWeather,27.99,78.0,3.09,,,75.0,2025-11-04 20:06:05.946337,2025-11-04,20:06:05.944216,20,Tuesday
14,Mumbai,2025-11-04 20:06:05.944216,26.97,41.21,0.14,0.3,168.82,86.37,3,OpenWeather,27.99,78.0,3.09,,,75.0,2025-11-04 20:06:05.946337,2025-11-04,20:06:05.944216,20,Tuesday
5,Mumbai,2025-11-04 20:06:03.964285,26.97,41.21,0.14,0.3,168.82,86.37,3,OpenWeather,27.99,78.0,3.09,,,75.0,2025-11-04 20:06:03.976273,2025-11-04,20:06:03.964285,20,Tuesday
5,Mumbai,2025-11-04 20:06:03.964285,26.97,41.21,0.14,0.3,168.82,86.37,3,OpenWeather,27.99,78.0,3.09,,,75.0,2025-11-04 20:06:03.976273,2025-11-04,20:06:03.964285,20,Tuesday
3,Mumbai,2025-11-04 20:06:02.951675,,,,,,,79,IQAir,27.99,78.0,3.09,,,75.0,2025-11-04 20:06:02.958618,2025-11-04,20:06:02.951675,20,Tuesday
