id,city,timestamp,date,time,hour,day_of_week,aqi_value,pm25,pm10,no2,so2,co,o3,data_source,created_at
119,Thane,2025-11-06 07:31:33.950832,2025-11-06,07:31:33.950832,7,Thursday,3,39.62,79.15,2.21,5.72,161.51,93.92,OpenWeather,2025-11-06 07:31:33.951577
27,Thane,2025-11-04 20:06:08.764513,2025-11-04,20:06:08.764513,20,Tuesday,3,30.23,52.02,0.43,0.84,162.17,86.69,OpenWeather,2025-11-04 20:06:08.778359
121,Vadodara,2025-11-06 07:31:34.350482,2025-11-06,07:31:34.350482,7,Thursday,4,64.54,97.62,14.87,16.37,428.45,43.73,OpenWeather,2025-11-06 07:31:34.351966
31,Vadodara,2025-11-04 20:06:09.500037,2025-11-04,20:06:09.500037,20,Tuesday,3,40.15,89.14,6.45,11.03,176.59,83.36,OpenWeather,2025-11-04 20:06:09.500328
123,Varanasi,2025-11-06 07:31:34.919140,2025-11-06,07:31:34.919140,7,Thursday,3,45.9,59.79,2.77,2.4,392.62,62.57,OpenWeather,2025-11-06 07:31:34.921486
37,Varanasi,2025-11-04 20:06:10.737175,2025-11-04,20:06:10.737175,20,Tuesday,4,52.48,81.78,4.47,4.51,317.82,82.36,OpenWeather,2025-11-04 20:06:10.740620
124,Vijayawada,2025-11-06 07:31:35.527912,2025-11-06,07:31:35.527912,7,Thursday,3,35.23,38.73,3.55,1.35,411.43,39.21,OpenWeather,2025-11-06 07:31:35.528701
44,Vijayawada,2025-11-04 20:06:12.643622,2025-11-04,20:06:12.643622,20,Tuesday,2,16.86,20.39,6.04,1.81,391.12,57.0,OpenWeather,2025-11-04 20:06:12.657617
125,Visakhapatnam,2025-11-06 07:31:35.582663,2025-11-06,07:31:35.582663,7,Thursday,3,41.25,45.15,3.95,5.52,396.45,66.08,OpenWeather,2025-11-06 07:31:35.584289
29,Visakhapatnam,2025-11-04 20:06:08.941799,2025-11-04,20:06:08.941799,20,Tuesday,3,46.08,49.07,3.2,2.36,367.27,92.87,OpenWeather,2025-11-04 20:06:08.945896
126,Warangal,2025-11-06 07:31:36.414117,2025-11-06,07:31:36.414117,7,Thursday,2,21.67,29.7,10.23,3.71,460.59,26.99,OpenWeather,2025-11-06 07:31:36.422202
